timestamp,message_type,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw,rc1_raw,rc2_raw,rc3_raw,rc4_raw,rc5_raw,rc6_raw,rc7_raw,rc8_raw,rc9_raw,rc10_raw,rc11_raw,rc12_raw,rc13_raw,rc14_raw,rc15_raw,rc16_raw,rc17_raw,rc18_raw,rssi
2025-03-31 15:47:53.765019,SERVO_OUTPUT_RAW,1496,1498,1498,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:53.769859,RC_CHANNELS,,,,,,,,,1500,1500,1500,1498,1501,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:54.290055,SERVO_OUTPUT_RAW,1502,1506,1504,1492,1378,1378,1622,1378,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:54.292606,RC_CHANNELS,,,,,,,,,1500,1500,1629,1506,1502,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:54.803933,SERVO_OUTPUT_RAW,1527,1531,1529,1467,1306,1306,1694,1306,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:54.808369,RC_CHANNELS,,,,,,,,,1500,1500,1694,1530,1502,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:55.369057,SERVO_OUTPUT_RAW,1493,1499,1495,1499,1455,1455,1545,1455,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:55.375259,RC_CHANNELS,,,,,,,,,1500,1500,1545,1497,1503,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:55.863295,SERVO_OUTPUT_RAW,1494,1500,1496,1498,1502,1502,1498,1502,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:55.866748,RC_CHANNELS,,,,,,,,,1500,1500,1498,1498,1503,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:56.364288,SERVO_OUTPUT_RAW,1492,1498,1494,1500,1491,1491,1509,1491,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:56.367918,RC_CHANNELS,,,,,,,,,1500,1500,1509,1496,1503,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:56.872104,SERVO_OUTPUT_RAW,1492,1498,1494,1500,1490,1490,1510,1490,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:56.873787,RC_CHANNELS,,,,,,,,,1500,1500,1509,1496,1503,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:57.363542,SERVO_OUTPUT_RAW,1493,1499,1495,1499,1497,1497,1503,1497,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:57.367192,RC_CHANNELS,,,,,,,,,1500,1500,1506,1497,1503,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:57.864105,SERVO_OUTPUT_RAW,1492,1498,1494,1500,1474,1474,1526,1474,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:57.867277,RC_CHANNELS,,,,,,,,,1500,1500,1526,1496,1503,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:58.363838,SERVO_OUTPUT_RAW,1493,1499,1495,1499,1479,1479,1521,1479,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:58.367601,RC_CHANNELS,,,,,,,,,1500,1500,1532,1497,1503,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:58.863424,SERVO_OUTPUT_RAW,1494,1498,1496,1500,1408,1408,1592,1408,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:58.866763,RC_CHANNELS,,,,,,,,,1500,1500,1603,1497,1502,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:59.386069,SERVO_OUTPUT_RAW,1494,1498,1496,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:59.392735,RC_CHANNELS,,,,,,,,,1500,1500,1500,1497,1502,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:47:59.882914,SERVO_OUTPUT_RAW,1490,1504,1490,1496,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:47:59.885543,RC_CHANNELS,,,,,,,,,1500,1500,1500,1497,1507,1500,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:00.403059,SERVO_OUTPUT_RAW,1480,1494,1480,1506,1446,1446,1554,1446,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:00.406375,RC_CHANNELS,,,,,,,,,1500,1500,1568,1489,1507,1500,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:00.903321,SERVO_OUTPUT_RAW,1484,1498,1484,1502,1383,1383,1617,1383,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:00.906601,RC_CHANNELS,,,,,,,,,1500,1500,1495,1491,1508,1500,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:01.424133,SERVO_OUTPUT_RAW,1472,1510,1472,1490,1501,1501,1499,1501,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:01.426819,RC_CHANNELS,,,,,,,,,1500,1500,1499,1491,1518,1500,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:01.923747,SERVO_OUTPUT_RAW,1475,1511,1473,1491,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:01.927098,RC_CHANNELS,,,,,,,,,1500,1500,1500,1492,1519,1501,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:02.444437,SERVO_OUTPUT_RAW,1440,1546,1438,1456,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:02.449310,RC_CHANNELS,,,,,,,,,1500,1500,1500,1492,1553,1501,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:02.942710,SERVO_OUTPUT_RAW,1426,1560,1424,1442,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:02.945224,RC_CHANNELS,,,,,,,,,1500,1500,1500,1492,1570,1501,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:03.446779,SERVO_OUTPUT_RAW,1390,1588,1396,1406,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:03.456590,RC_CHANNELS,,,,,,,,,1500,1500,1500,1492,1601,1497,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:03.943267,SERVO_OUTPUT_RAW,1364,1614,1372,1378,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:03.947116,RC_CHANNELS,,,,,,,,,1500,1500,1500,1493,1625,1496,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:04.463320,SERVO_OUTPUT_RAW,1363,1615,1371,1377,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:04.468999,RC_CHANNELS,,,,,,,,,1500,1500,1500,1493,1626,1496,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:04.966655,SERVO_OUTPUT_RAW,1384,1594,1392,1398,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:04.970622,RC_CHANNELS,,,,,,,,,1500,1500,1500,1493,1605,1496,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:05.483265,SERVO_OUTPUT_RAW,1461,1523,1463,1475,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:05.488250,RC_CHANNELS,,,,,,,,,1500,1500,1500,1493,1531,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
2025-03-31 15:48:05.982841,SERVO_OUTPUT_RAW,1462,1522,1464,1476,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,
2025-03-31 15:48:05.986287,RC_CHANNELS,,,,,,,,,1500,1500,1500,1493,1530,1499,1500,1500,1100,1100,1100,0,0,0,0,0,0,0,0
